Hangneigung,N,NE,E,SE,S,SW,W,NW
0,1,1,1,1,1,1,1,1
1,0.989,0.993,1,1.008,1.01,1.008,1,0.994
2,0.978,0.985,1,1.015,1.02,1.015,1,0.988
3,0.966,0.978,1,1.023,1.03,1.023,1,0.981
4,0.955,0.97,1,1.03,1.04,1.03,1,0.975
5,0.944,0.963,1,1.038,1.05,1.038,1,0.969
6,0.931,0.953,0.998,1.041,1.058,1.043,0.998,0.958
7,0.919,0.943,0.995,1.045,1.065,1.048,0.995,0.946
8,0.906,0.933,0.993,1.049,1.073,1.053,0.993,0.935
9,0.894,0.923,0.99,1.053,1.08,1.058,0.99,0.924
10,0.881,0.913,0.988,1.056,1.088,1.063,0.988,0.913
11,0.868,0.901,0.984,1.06,1.094,1.066,0.985,0.903
12,0.854,0.89,0.98,1.064,1.1,1.07,0.983,0.893
13,0.84,0.879,0.976,1.068,1.106,1.074,0.98,0.883
14,0.826,0.868,0.973,1.071,1.113,1.078,0.978,0.873
15,0.813,0.856,0.969,1.075,1.119,1.081,0.975,0.863
16,0.798,0.845,0.964,1.078,1.123,1.084,0.97,0.85
17,0.783,0.834,0.959,1.08,1.126,1.086,0.965,0.838
18,0.768,0.823,0.954,1.083,1.13,1.089,0.96,0.825
19,0.753,0.811,0.949,1.085,1.134,1.091,0.955,0.813
20,0.738,0.8,0.944,1.088,1.138,1.094,0.95,0.8
21,0.721,0.785,0.938,1.089,1.141,1.095,0.945,0.785
22,0.705,0.77,0.931,1.09,1.145,1.096,0.94,0.77
23,0.689,0.755,0.925,1.091,1.149,1.098,0.935,0.755
24,0.673,0.74,0.919,1.093,1.153,1.099,0.93,0.74
25,0.656,0.725,0.913,1.094,1.156,1.1,0.925,0.725
26,0.641,0.713,0.908,1.096,1.16,1.102,0.92,0.712
27,0.625,0.701,0.902,1.098,1.163,1.104,0.915,0.698
28,0.61,0.689,0.897,1.1,1.167,1.106,0.91,0.685
29,0.594,0.677,0.891,1.102,1.171,1.108,0.905,0.671
30,0.579,0.663,0.886,1.105,1.175,1.111,0.9,0.658
31,0.562,0.648,0.88,1.106,1.178,1.112,0.895,0.643
32,0.547,0.635,0.874,1.108,1.182,1.114,0.89,0.629
33,0.531,0.621,0.868,1.109,1.186,1.115,0.885,0.615
34,0.515,0.607,0.863,1.111,1.189,1.117,0.88,0.601
35,0.498,0.592,0.856,1.112,1.193,1.118,0.875,0.586
36,0.483,0.58,0.851,1.115,1.197,1.121,0.87,0.573
37,0.467,0.567,0.845,1.116,1.2,1.122,0.865,0.559
38,0.451,0.553,0.84,1.118,1.204,1.124,0.86,0.545
39,0.435,0.539,0.834,1.12,1.208,1.126,0.855,0.53
40,0.42,0.527,0.828,1.122,1.211,1.128,0.85,0.517
41,0.404,0.512,0.822,1.123,1.215,1.129,0.845,0.502
42,0.388,0.499,0.817,1.125,1.219,1.131,0.84,0.488
43,0.372,0.485,0.811,1.127,1.222,1.133,0.835,0.474
44,0.356,0.471,0.805,1.128,1.226,1.134,0.83,0.46
45,0.34,0.458,0.799,1.13,1.23,1.136,0.825,0.446
